model,nsims,tpb,mem,cupsodatime,cupsoda_io_time,pythontime,rtol,atol,mxsteps,t_end,n_steps,vol,card
#ras,100000,16,0,223.878723,370.614522934,517.427776098,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,10,16,1,3.33927,3.68587398529,3.74381804466,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,100,16,1,3.398481,3.91050100327,4.18321299553,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,1000,16,1,3.77091,5.68008613586,7.26369714737,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,10000,16,1,19.775293,34.7166161537,49.4796578884,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,100000,16,1,182.587341,330.217378139,475.83406496,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,10,16,2,2.931426,3.27144980431,3.36545491219,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,100,16,2,2.982691,3.4972319603,3.7718770504,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,1000,16,2,3.334234,5.13926196098,6.68056201935,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,10000,16,2,18.049034,33.1033940315,47.8151659966,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,100000,16,2,167.559143,313.230831146,460.157408953,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti

tyson,10,16,0,0.110958,0.313817977905,0.329696178436,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,100,16,0,0.09829,0.435923099518,0.550575017929,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,1000,16,0,0.099854,0.671899080276,1.18018007278,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,10000,16,0,0.480296,3.65285015106,7.50164413452,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,100000,16,0,4.399576,33.5307469368,71.6482641697,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,10,16,1,0.10608,0.360196828842,0.38082909584,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,100,16,1,0.1005,0.420377969742,0.549292087555,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,1000,16,1,0.102468,0.706759929657,1.21881198883,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,10000,16,1,0.4522,3.59710288048,7.70757198334,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,100000,16,1,4.023115,33.0424749851,71.3904139996,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,10,16,2,0.098836,0.356647968292,0.382841110229,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,100,16,2,0.103441,0.43639588356,0.603796005249,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,1000,16,2,0.095831,0.711559057236,1.17977499962,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,10000,16,2,0.419697,3.57778596878,7.51794695854,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,100000,16,2,3.865697,33.1916768551,71.7901859283,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,10,32,0,0.115219,0.322874069214,0.347744226456,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,100,32,0,0.11489,0.389533042908,0.528782844543,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,1000,32,0,0.110619,0.64120721817,1.15087604523,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,10000,32,0,0.460127,3.62635397911,7.72112107277,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,100000,32,0,4.475485,33.1593668461,73.8096940517,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,10,32,1,0.102508,0.378169059753,0.405134916306,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,100,32,1,0.100787,0.417098045349,0.556569099426,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,1000,32,1,0.101516,0.68029999733,1.28012394905,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,10000,32,1,0.433782,3.56932401657,7.90323591232,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,100000,32,1,4.256375,33.6509549618,76.0780360699,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,10,32,2,0.098823,0.3263630867,0.35112786293,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,100,32,2,0.100217,0.429239988327,0.58575296402,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,1000,32,2,0.106318,0.704910993576,1.23986196518,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,10000,32,2,0.428649,3.61470794678,7.77896213531,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,100000,32,2,4.381987,34.0204172134,75.6869151592,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,10,64,0,0.115266,0.311159849167,0.337031126022,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,100,64,0,0.122492,0.422257900238,0.554442167282,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,1000,64,0,0.124248,0.869966030121,1.430560112,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,10000,64,0,0.460911,3.68345499039,7.59062695503,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,100000,64,0,4.545215,33.5733311176,72.638698101,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,10,64,1,0.106017,0.355572938919,0.384454011917,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,100,64,1,0.109053,0.457376003265,0.596315860748,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,1000,64,1,0.103045,0.707576990128,1.21971106529,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,10000,64,1,0.433147,3.56878089905,7.63709402084,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,100000,64,1,4.270203,33.522903204,73.0308179855,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,10,64,2,0.099182,0.380646944046,0.399118185043,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,100,64,2,0.104187,0.428087949753,0.55858707428,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,1000,64,2,0.099643,0.667106151581,1.16439509392,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,10000,64,2,0.427229,3.62249684334,7.547727108,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
tyson,100000,64,2,4.373747,33.0746319294,72.7488307953,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti

ras,10,16,0,4.083028,4.3925819397,4.47899580002,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,100,16,0,4.209999,4.65610408783,4.93635201454,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,1000,16,0,4.624676,6.40816497803,7.96109008789,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,10000,16,0,23.703644,38.5652468204,52.6666040421,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,100000,16,0,225.232452,373.241872072,513.954571962,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
